endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Joaquim Afonso de Souza,vila celeste,110,2,0,Casa,1300,1355,Vila Celeste,1254
Rua Glória do Goitá 335 Apt 112,jardim independencia,29,1,0,Studio e kitnet,1180,1411,Jardim Independência,988
Rua Martim Burchard,bras,44,2,0,Apartamento,2250,2712,Brás,934
Rua Tuiuti,tatuape,61,2,1,Apartamento,1900,2882,Tatuapé,1078
Rua das Palmeiras,vila buarque,11,1,0,Studio e kitnet,1560,1904,Vila Buarque,1143
Rua João Mafra,vila brasilio machado,56,2,2,Apartamento,1900,2700,Vila Brasílio Machado,1254
Avenida Vila Ema,vila prudente,56,2,1,Apartamento,1890,2222,Vila Prudente,988
Rua Almaden,vila andrade,62,2,1,Apartamento,3300,4354,Vila Andrade,917
Avenida Rio Branco,campos eliseos,35,1,0,Apartamento,1300,1580,Campos Elíseos,1143
Rua Tanque Velho,vila nivi,45,1,0,Casa,500,551,Vila Nivi,1069
Rua Itiúba,vila celeste,47,2,0,Casa,1589,1799,Vila Celeste,1254
Rua Hanna Abduch,vila palmeiras,80,2,0,Casa,2150,2232,Vila Palmeiras,1259
Rua das Violetas,vila marina,52,2,1,Apartamento,1800,1879,Vila Marina,1146
Rua Sampaio Corrêa,jardim pereira leite,46,2,0,Apartamento,900,1075,Jardim Pereira Leite,1146
Avenida São João,republica,31,1,0,Apartamento,1300,1350,República,1143
Rua Elísio de Carvalho,vila sao luis,12,1,0,Apartamento,1122,1208,Vila São Luís(zona Oeste),1146
Rua Arruda Ferreira,vila guilherme,20,1,0,Apartamento,1100,1230,Vila Guilherme,915
Rua Aurora,santa ifigenia,31,1,0,Studio e kitnet,1075,1393,Santa Ifigênia,1143
Rua Torquato Tasso,vila prudente,60,2,0,Casa,1700,1773,Vila Prudente,988
Rua Arnaldo Cintra,vila moreira,50,2,1,Apartamento,2500,2950,Vila Moreira,1078
Rua Maranjaí,vila monumento,32,1,0,Casa,750,782,Vila Monumento,1254
Rua Oscar Cintra Gordinho,liberdade,25,1,0,Studio e kitnet,850,1102,Liberdade,1410
Rua Manuel Leiroz,vila penteado,31,1,0,Apartamento,1500,1928,Vila Penteado,943
Rua Itapeti,vila alpina,42,1,1,Apartamento,1600,2066,Vila Alpina,988
Rua Helena Zerrener,liberdade,23,1,0,Studio e kitnet,753,1162,Liberdade,1410
Rua Natividade Saldanha,sao lucas,22,0,0,Studio e kitnet,900,1126,São Lucas,1025
Rua Virginópolis,sacoma,80,2,1,Casa,2426,2529,Sacomã,1148
Avenida Joaquina Ramalho,vila guilherme,34,1,0,Studio e kitnet,1250,1416,Vila Guilherme,915
Rua Coronel Mursa,bras,19,1,0,Studio e kitnet,1700,2016,Brás,934
Rua da Glória,liberdade,28,1,0,Studio e kitnet,2000,2327,Liberdade,1410
Rua Sete Barras,vila moinho velho,70,2,1,Apartamento,3218,3832,Vila Moinho Velho,1148
Rua Doutor Raul da Rocha Medeiros,tatuape,52,2,1,Apartamento,3800,4672,Tatuapé,1078
Rua Alencar Araripe,sacoma,50,2,1,Apartamento,1712,2486,Sacomã,1148
Rua Cônego Vicente Miguel Marino,barra funda,38,1,1,Apartamento,2400,2953,Barra Funda,1143
Rua Doutor Fleury Silveira,vila santa maria,23,1,1,Casa,700,855,Vila Santa Maria,1027
Rua Hermínio Lemos,cambuci,15,1,0,Studio e kitnet,1150,1194,Cambuci,983
Rua Doutor Bento Teobaldo Ferraz,varzea da barra funda,31,1,0,Apartamento,2100,2429,Várzea da Barra Funda,1151
Avenida Doutor Bernardino Brito Fonseca de Carvalho,vila talarico,62,3,1,Apartamento,1700,2217,Vila Talarico,1077
Rua do Tatuapé,maranhao,32,1,0,Apartamento,1550,1795,Maranhão,1078
Rua Monsenhor Francisco de Paula,vila aricanduva,46,2,0,Apartamento,1799,1928,Vila Aricanduva,1077
Rua Marquês Maricá,sacoma,38,1,0,Studio e kitnet,1030,1053,Sacomã,1148
Rua Nossa Senhora Acheropita,vila santa clara,42,1,1,Casa,1600,1715,Vila Santa Clara,988
Rua Tanque Velho,vila nivi,42,2,0,Casa em condomínio,1500,1625,Vila Nivi,1069
Avenida dos Ourives,jardim sao saverio,41,2,0,Apartamento,1300,1750,Jardim São Savério,1148
Rua Olímpio Portugal,mooca,38,1,1,Apartamento,1550,1913,Mooca,934
Rua Abrahão Calux,vila moinho velho,59,2,1,Apartamento,2200,2861,Vila Moinho Velho,1148
Avenida Prestes Maia,centro,37,1,0,Studio e kitnet,1100,1918,Centro,1410
Rua Fonseca da Costa,bosque da saude,209,3,2,Casa,6000,6674,Bosque da Saúde,1072
Rua Afonso Morsch,vila constanca,75,2,1,Casa em condomínio,4000,4067,Vila Constança,1024
Rua Bartholomeu do Canto,vila palmeiras,31,1,0,Apartamento,1700,2166,Vila Palmeiras,1259
Rua Natividade Saldanha,sao lucas,19,0,0,Studio e kitnet,850,1052,São Lucas,1025
Rua Antônio Gomes Ferreira,parque fongaro,32,2,0,Apartamento,1100,1492,Parque Fongaro,1148
Rua Jovina Maria de Jesus,jardim das acacias,209,4,2,Casa,6950,7722,Jardim das Acácias,904
Rua Capitao Avelino Carneiro,penha de franca,37,1,0,Apartamento,1490,2017,Penha de França,1275
Rua Maria José Rangel,vila sao paulo,65,2,1,Casa,2200,2293,Vila São Paulo,901
Rua Doutor Ferreira Lopes,vila sofia,70,3,2,Apartamento,2100,3315,Vila Sofia,1265
Rua Edmundo Luís de Nóbrega Teixeira,campo grande,114,4,2,Casa,3500,3998,Campo Grande,901
Rua Oscar Freire,cerqueira cesar,55,2,0,Apartamento,3950,5097,Cerqueira César,1067
Rua Almirante Brasil,mooca,50,2,1,Apartamento,1700,2424,Mooca,934
Avenida Yervant Kissajikian,vila constanca,59,3,1,Apartamento,2100,2573,Vila Constança,1024
Rua Professor José Miziara,santa teresinha,55,2,1,Apartamento,1900,2532,Santa Teresinha,1154
Avenida Diógenes Ribeiro de Lima,alto da lapa,70,2,1,Apartamento,2450,2955,Alto da Lapa,957
Rua Iguaré,tatuape,54,2,1,Apartamento,1400,2069,Tatuapé,1078
Rua Diogo de Oliveira,sitio do morro,50,2,0,Apartamento,1590,1852,Sítio do Morro,1146
Rua Votupoca,vila ipojuca,90,4,2,Apartamento,4200,5668,Vila Ipojuca,1151
Rua Doutor Bento Teobaldo Ferraz,varzea da barra funda,30,1,0,Apartamento,2122,2453,Várzea da Barra Funda,1151
Avenida Miguel Frias E Vasconcelos,jaguare,80,2,0,Apartamento,3200,4187,Jaguaré,907
Avenida Santa Marina,agua branca,78,2,2,Apartamento,4000,4712,Água Branca,957
Rua Erva Imperial,vila alpina,45,2,1,Apartamento,1404,1853,Vila Alpina,988
Rua Ponte Pensa,parada inglesa,37,2,0,Apartamento,1650,1949,Parada Inglesa,1069
Rua Speers,vila sao pedro,15,1,0,Studio e kitnet,950,1487,Vila Sao Pedro,1148
Rua João Adolfo,centro,26,1,0,Studio e kitnet,1750,2194,Centro,1410
Rua Bento Freitas,republica,29,1,0,Studio e kitnet,1300,1682,República,1143
Rua Jesuíno Rabello,vila milton,60,2,1,Apartamento,1683,2159,Vila Milton,942
Rua Coronel Deraldo Jordão,ipiranga,120,3,3,Casa,5500,5962,Ipiranga,1254
Rua Bela Cintra,consolacao,55,1,0,Apartamento,3899,4467,Consolação,1067
Avenida Benigno Carrera,vila campestre,35,1,0,Casa,874,961,Vila Campestre,1073
Avenida Tiradentes,luz,48,2,1,Apartamento,2860,3406,Luz,1246
Rua do Chico Nunes,vila andrade,36,2,0,Apartamento,980,1138,Vila Andrade,917
Rua Frei Gaspar,mooca,33,1,0,Apartamento,3100,3600,Mooca,934
Rua Manuel Dias de Oliveira,jardim alvorada,40,2,0,Apartamento,1101,1443,Jardim Alvorada (zona Oeste),1074
Rua Pedro de Melo Sousa,vila arcadia,39,1,0,Casa,938,1019,Vila Arcadia,1146
Rua Joaquim Oliveira Freitas,vila mangalot,51,2,1,Apartamento,920,1572,Vila Mangalot,1075
Avenida Senador José Ermírio de Moraes,tremembe,62,2,1,Apartamento,2300,2952,Tremembé,942
Rua Domingos Lopes da Silva,vila suzana,35,1,1,Apartamento,959,1840,Vila Suzana,1074
Avenida Ipiranga,republica,29,1,0,Studio e kitnet,1725,2142,República,1143
Rua Porto de Palos,jardim peri,41,2,0,Apartamento,1000,1408,Jardim Peri,1070
Rua Fernando Dondon,tatuape,24,1,0,Studio e kitnet,1600,1964,Tatuapé,1078
Rua Tenente-coronel Soares Neiva,vila aricanduva,37,2,0,Apartamento,1500,1728,Vila Aricanduva,1077
Rua Conselheiro Ramalho,bela vista,26,1,0,Studio e kitnet,1953,2338,Bela Vista,1410
Rua Tomé de Lara,tucuruvi,41,2,0,Apartamento,1800,2019,Tucuruvi,1069
Rua Conselheiro Lafaiette,mooca,30,1,0,Apartamento,1635,2033,Mooca,934
Rua Barão de Campinas,campos eliseos,12,1,0,Studio e kitnet,900,1125,Campos Elíseos,1143
Rua Maria Zélia,piqueri,41,1,1,Casa,1550,1624,Piqueri,1075
Rua Ribeiro Marcondes,vila prudente,32,1,0,Studio e kitnet,1350,1502,Vila Prudente,988
Avenida Ajarani,cidade patriarca,44,2,1,Apartamento,1800,2527,Cidade Patriarca,1153
Rua Antônio de Macedo Soares,campo belo,50,1,1,Apartamento,3350,4029,Campo Belo,1147
Rua Martins Fontes,centro,30,1,0,Apartamento,2600,3100,Centro,1410
Avenida Rubens Fraga de Toledo Arruda,engenheiro goulart,46,2,0,Apartamento,1400,1758,Engenheiro Goulart,1150
Avenida Nossa Senhora do Sabará,vila sofia,69,2,1,Apartamento,2170,3053,Vila Sofia,1265
Rua Raul Bispo dos Santos,vila pedra branca,60,1,0,Casa,1100,1156,Vila Pedra Branca,942
Alameda Barros,santa cecilia,30,1,0,Studio e kitnet,2327,2767,Santa Cecília,938
Avenida Aparecida do Rio Negro,jardim peri,43,2,1,Apartamento,1732,2078,Jardim Peri,1070
Rua Desembargador Aragão,vila mariana,40,1,1,Studio e kitnet,4900,5471,Vila Mariana,1072
Rua Brigadeiro Tobias,centro historico de sao paulo,32,1,0,Studio e kitnet,2000,2754,Centro Histórico de São Paulo,1410
Rua Antônio Gomes Ferreira,sacoma,32,2,0,Apartamento,1350,1652,Sacomã,1148
Rua Iquiririm,vila indiana,28,1,0,Studio e kitnet,1426,1928,Vila Indiana,993
Rua Anhanguera,barra funda,69,2,2,Apartamento,5390,6182,Barra Funda,1143
Rua Manuel Leiroz,vila penteado,41,2,0,Apartamento,1500,1958,Vila Penteado,943
Praça Doutor Mário Margarido,liberdade,30,1,0,Apartamento,1092,1474,Liberdade,1410
Rua José Arzão,vila andrade,51,2,0,Apartamento,2480,3529,Vila Andrade,917
Avenida Padre Arlindo Vieira,vila vermelha,71,3,2,Apartamento,1900,2941,Vila Vermelha,1148
Rua Luís Filipe Alberti,jardim maringa,41,2,1,Apartamento,1400,1951,Jardim Maringá,963
Rua Augusto Farina,jardim bonfiglioli,30,1,0,Studio e kitnet,1260,1338,Jardim Bonfiglioli,993
Rua João José Pacheco,jardim vila mariana,22,0,0,Studio e kitnet,2200,2808,Jardim Vila Mariana,1072
Rua Coronel Mursa,bras,20,1,1,Apartamento,2600,2886,Brás,934
Rua Pangaré,vila butanta,38,2,1,Apartamento,1995,2572,Vila Butantã,993
Rua Bartholomeu do Canto,vila palmeiras,34,2,0,Apartamento,1400,1754,Vila Palmeiras,1259
Avenida do Cursino,vila gumercindo,72,3,2,Apartamento,4000,4154,Vila Gumercindo,1072
Avenida Paes de Barros,mooca,98,3,1,Apartamento,3000,3889,Mooca,934
Avenida Engenheiro Thomaz Magalhães,sitio da figueira,55,2,1,Apartamento,1750,2168,Sítio da Figueira,988
Rua Bento Vieira,ipiranga,55,2,1,Apartamento,2350,3310,Ipiranga,1254
Rua Oscar Freire,pinheiros,19,1,0,Studio e kitnet,3400,3905,Pinheiros,1257
Rua Francisco Luiz de Souza Júnior,agua branca,44,2,0,Apartamento,1750,2178,Água Branca,957
Rua Heitor Penteado,sumarezinho,55,2,1,Apartamento,2300,3039,Sumarezinho,1257
Rua Henrique Sertório,tatuape,24,1,0,Studio e kitnet,1900,2430,Tatuapé,1078
Largo do Arouche,republica,30,1,0,Studio e kitnet,2390,3113,República,1143
Rua Alfredo Pujol,santana,26,1,0,Studio e kitnet,2500,2940,Santana,915
Rua Gravi,vila da saude,35,1,0,Casa,1400,1424,Vila da Saúde,1072
Rua Guaraja,vila mazzei,70,2,1,Apartamento,1600,2131,Vila Mazzei,1069
Rua Padre Lebret,jardim leonor,87,1,2,Apartamento,4500,6010,Jardim Leonor,917
Avenida João Dias,santo amaro,67,2,1,Apartamento,1900,2964,Santo Amaro,1265
Rua Capitão Teófilo,centro,94,3,1,Apartamento,2200,2926,Centro,1410
Rua Avanhandava,bela vista,24,1,0,Studio e kitnet,2350,2892,Bela Vista,1410
Avenida Nove de Julho,bela vista,26,1,0,Studio e kitnet,1250,1629,Bela Vista,1410
Rua Catulo da Paixão Cearense,vila da saude,75,3,2,Apartamento,3700,5068,Vila da Saúde,1072
Avenida Raimundo Pereira de Magalhães,jardim iris,45,2,0,Apartamento,3000,3621,Jardim Iris,919
Avenida Sapopemba,jardim planalto,32,2,0,Apartamento,1800,2169,Jardim Planalto,1018
Avenida do Cursino,vila moraes,63,2,1,Apartamento,2400,2993,Vila Moraes,1148
Rua dos Democratas,vila monte alegre,48,2,1,Apartamento,1900,2774,Vila Monte Alegre,1072
Rua Dom Estevão Pimentel,chacara belenzinho,56,3,1,Apartamento,2000,2937,Chácara Belenzinho,925
Rua Álvaro de Carvalho,centro,26,1,0,Studio e kitnet,2450,2995,Centro,1410
Avenida dos Ourives,jardim sao saverio,43,2,0,Apartamento,1300,1700,Jardim Sao Saverio,1148
Avenida Piassanguaba,planalto paulista,27,1,0,Casa,1200,1343,Planalto Paulista,1255
Rua Tenente Coronel Soares Neiva,vila aricanduva,35,2,0,Apartamento,1481,1788,Vila Aricanduva,1077
Rua Dom Paulo Pedrosa,real parque,80,1,1,Apartamento,3000,4206,Real Parque,1074
Rua Gomes de Carvalho,vila olimpia,75,3,1,Apartamento,3200,4253,Vila Olímpia,1256
Rua Camargo Aranha,pacaembu,350,4,2,Casa,10400,11660,Pacaembu,1067
Rua Álvaro de Carvalho,centro,37,2,0,Apartamento,2500,3220,Centro,1410
Rua 17 de Janeiro,paraiso do morumbi,24,1,0,Apartamento,1100,1442,Paraíso do Morumbi,917
Rua Helvétia,campos eliseos,45,1,1,Apartamento,3100,3862,Campos Elíseos,1143
Rua Gravataí,consolacao,24,1,0,Studio e kitnet,3000,3575,Consolação,1067
Rua Mourato Coelho,pinheiros,34,1,1,Studio e kitnet,3231,4083,Pinheiros,1257
Rua Paim,bela vista,50,1,1,Apartamento,4000,4918,Bela Vista,1410
Rua José Bento,cambuci,41,2,0,Apartamento,2090,2511,Cambuci,983
Rua Alves Guimarães,pinheiros,33,1,0,Studio e kitnet,3417,4018,Pinheiros,1257
Rua Conde de São Joaquim,bela vista,35,1,1,Apartamento,1600,2490,Bela Vista,1410
Praça Alberto Lion,cambuci,34,2,0,Apartamento,1443,1829,Cambuci,983
Rua Danton Vampre,jardim maringa,150,3,1,Casa,1880,1960,Jardim Maringá,963
Avenida Francisco Rodrigues,vila constanca,64,2,1,Casa em condomínio,2200,2413,Vila Constança,1024
Rua Paulistânia,sumarezinho,31,1,0,Studio e kitnet,2620,3191,Sumarezinho,1257
Rua Marie Nader Calfat,jardim ampliacao,38,1,1,Studio e kitnet,2400,3014,Jardim Ampliação,917
Rua Adele Zarzur,jardim sao jose,50,1,0,Casa,850,887,Jardim São José (zona Norte),1020
Rua José Pereira Barreto,jardim climax,45,1,1,Casa,1200,1251,Jardim Clímax,1148
Rua Santo Antônio,bela vista,29,1,0,Apartamento,1700,2199,Bela Vista,1410
Rua Santo Antônio,bela vista,37,2,0,Apartamento,2200,2814,Bela Vista,1410
Rua Rocha,bela vista,29,1,0,Studio e kitnet,1400,1721,Bela Vista,1410
Rua Itajaí,mooca,76,3,1,Apartamento,4200,5319,Mooca,934
Rua Araguaia,vila curuca,64,2,1,Apartamento,3600,4459,Vila Curuca,1152
Rua Barbalha,alto da lapa,14,1,0,Studio e kitnet,700,811,Alto da Lapa,957
Rua Eugênio de Medeiros,pinheiros,34,1,1,Apartamento,4850,5677,Pinheiros,1257
Rodovia Raposo Tavares,jardim olympia,55,2,1,Apartamento,1800,2489,Jardim Olympia,1074
Rua das Palmeiras,vila buarque,12,1,0,Apartamento,2400,2855,Vila Buarque,1143
Rua Pascoal Ranieri Mazzilli,vila mendes,67,2,1,Apartamento,2448,3169,Vila Mendes,1025
Avenida Condessa Elizabeth de Robiano,penha de franca,62,3,1,Apartamento,2100,2731,Penha de França,1275
Avenida Leonardo da Vinci,vila guarani,50,2,1,Apartamento,1450,2416,Vila Guarani (z Sul),1073
Rua Bento Freitas,republica,22,1,0,Studio e kitnet,2800,3329,República,1143
Rua Desembargador Euclides da Silveira,casa verde,49,1,1,Apartamento,3500,4188,Casa Verde,1259
Rua Ribeiro do Vale,brooklin paulista,35,1,0,Studio e kitnet,3700,4384,Brooklin Paulista,1147
Rua Palestina,vila mascote,130,3,1,Casa,4000,4311,Vila Mascote,1147
Avenida Vereador José Diniz,santo amaro,25,1,0,Studio e kitnet,2600,3048,Santo Amaro,1265
Rua Joaquim Rodrigues Costa,vila maria alta,25,2,0,Casa,1001,1043,Vila Maria Alta,1252
Avenida Cásper Líbero,centro,27,1,0,Studio e kitnet,2000,2577,Centro,1410
Avenida Giovanni Gronchi,vila andrade,98,3,2,Apartamento,2442,4507,Vila Andrade,917
Rua Bispo Eugênio Demazemod 388 Apto 61,vila alpina,49,2,1,Apartamento,1050,1620,Vila Alpina,988
Rua Rego Freitas,republica,20,1,0,Studio e kitnet,1640,2133,República,1143
Rua Bela Cintra,consolacao,48,1,1,Apartamento,2600,3597,Consolação,1067
Rua Guaianases,campos eliseos,38,1,1,Apartamento,1500,1998,Campos Elíseos,1143
Rua Barão de Tatuí,vila buarque,21,1,0,Studio e kitnet,1000,1428,Vila Buarque,1143
Rua Xavier Krauss,vila leopoldina,35,2,0,Apartamento,2550,3017,Vila Leopoldina,909
Rua Pamplona,cerqueira cesar,49,1,1,Apartamento,3000,3967,Cerqueira César,1067
Rua Professor Arnaldo João Semeraro,jardim santa emilia,64,2,1,Apartamento,1550,2060,Jardim Santa Emilia,923
Rua Dona Elisa,barra funda,70,3,1,Apartamento,4800,5790,Barra Funda,1143
Rua Cônego Vicente Miguel Marino,barra funda,99,3,2,Apartamento,4500,5566,Barra Funda,1143
Rua Frei Caneca,consolacao,28,1,0,Studio e kitnet,1700,2366,Consolação,1067
Rua Gustavo da Silveira,vila santa catarina,160,4,1,Casa,3000,3137,Vila Santa Catarina,1024
Rua Arnaldo Cintra,vila moreira,49,2,1,Apartamento,1995,2636,Vila Moreira,1078
Rua Otto de Barros,vila santo estefano,58,2,2,Apartamento,2120,3223,Vila Santo Estéfano,1077
Rua São Miguel,bela vista,35,1,1,Apartamento,2500,3296,Bela Vista,1410
Rua Riskallah Jorge,centro historico de sao paulo,28,0,0,Studio e kitnet,1207,1647,Centro Histórico de São Paulo,1410
Rua Nanuque,vila leopoldina,115,3,2,Apartamento,4450,6177,Vila Leopoldina,909
Rua Olímpia de Almeida Prado,barra funda,33,1,1,Studio e kitnet,2550,3286,Barra Funda,1143
Rua do Lavapés,cambuci,45,2,0,Apartamento,2500,3046,Cambuci,983
Rua São Venceslau,vila guarani,53,2,1,Apartamento,1900,2774,Vila Guarani (z Sul),1073
Rua Doutor Cesário Mota Júnior,vila buarque,30,1,0,Studio e kitnet,1350,1830,Vila Buarque,1143
Avenida Deputado Emílio Carlos,limao,49,2,1,Apartamento,1900,2359,Limão,1259
Rua Caio Prado,consolacao,24,1,0,Studio e kitnet,4300,4765,Consolação,1067
Avenida Joaquina Ramalho,vila guilherme,60,3,1,Apartamento,3000,3845,Vila Guilherme,915
Rua Amandaú,tucuruvi,35,2,0,Apartamento,2500,2976,Tucuruvi,1069
Rua Conselheiro Lafaiette,mooca,45,2,0,Apartamento,2400,2993,Mooca,934
Rua Cardoso de Almeida,perdizes,33,1,0,Apartamento,3000,4039,Perdizes,1151
Rua Leandro Dupré,vila clementino,15,1,0,Studio e kitnet,1000,1038,Vila Clementino,1255
Avenida Mascote,vila mascote,86,2,2,Apartamento,4800,5935,Vila Mascote,1147
Rua Bela Cintra,consolacao,51,1,1,Apartamento,4000,5189,Consolação,1067
Rua Gomes de Carvalho,vila olimpia,30,1,1,Studio e kitnet,3000,3751,Vila Olímpia,1256
Avenida Vereador José Diniz,santo amaro,47,1,1,Apartamento,2799,3526,Santo Amaro,1265
Rua Batataes,jardim paulista,54,1,2,Apartamento,3466,6316,Jardim Paulista,937
Rua Augusta,cerqueira cesar,35,1,1,Apartamento,2800,3661,Cerqueira César,1067
Rua Cardoso de Almeida,perdizes,33,1,0,Studio e kitnet,3000,4116,Perdizes,1151
Rua Doutor Plínio Barreto,bela vista,60,2,1,Apartamento,5500,6504,Bela Vista,1410
Rua Azevedo Soares,vila gomes cardim,82,3,1,Apartamento,3000,4040,Vila Gomes Cardim,1078
Rua Luís Correia de Melo,vila cruzeiro,58,2,1,Apartamento,3500,4479,Vila Cruzeiro,1265
R. Mal. Barbacena,jardim analia franco,78,1,1,Apartamento,3950,5182,Jardim Anália Franco,1078
Rua Marília de Dirceu,jardim aeroporto,200,2,1,Casa,8000,8398,Jardim Aeroporto,1147
Rua Marie Nader Calfat 270,jardim ampliacao,32,1,0,Studio e kitnet,2370,2962,Jardim Ampliação,917
Avenida Amador Bueno da Veiga,penha de franca,58,2,1,Apartamento,2500,3476,Penha de França,1275
Rua da Consolação,consolacao,65,2,0,Apartamento,2100,2831,Consolação,1067
Rua Itamonte,vila medeiros,58,3,1,Apartamento,3800,4536,Vila Medeiros,1069
Rua Sena Madureira,vila clementino,68,3,1,Apartamento,5200,6684,Vila Clementino,1255
Rua Cayowaá,perdizes,83,3,2,Apartamento,3600,5242,Perdizes,1151
Rua Cayowaá,perdizes,68,3,1,Apartamento,3000,4182,Perdizes,1151
Avenida Diógenes Ribeiro de Lima,alto da lapa,64,2,2,Apartamento,3000,4480,Alto da Lapa,957
Rua Antônio Gomes Ferreira,sacoma,33,2,0,Apartamento,1700,2095,Sacoma,1148
Avenida Padres Olivetanos,vila esperanca,73,3,1,Apartamento,2700,4093,Vila Esperança,1275
Rua Gabriele D’annunzio,campo belo,35,1,1,Studio e kitnet,3800,4637,Campo Belo,1147
Rua Francisca Júlia,santana,50,2,1,Apartamento,1900,2685,Santana,915
Rua Alves Guimarães,pinheiros,25,1,0,Studio e kitnet,2500,2986,Pinheiros,1257
Rua Elza Guimarães,vila amalia,48,2,0,Apartamento,1100,1542,Vila Amália (zona Norte),1070
Rua Franklin Magalhães,vila santa catarina,15,1,0,Casa,750,846,Vila Santa Catarina,1024
Rua Delfina da Cunha,jardim hercilia,30,2,2,Casa,2430,2725,Jardim Hercilia,1148
Rua Eugênia Sá Vitale,vila santa luzia,53,2,1,Apartamento,2200,2968,Vila Santa Luzia,923
Rua Doutor Gabriel de Resende Filho,chora menino,25,2,0,Apartamento,1400,1614,Chora Menino,1154
Rua Correia Dias,paraiso,23,1,0,Studio e kitnet,4000,4061,Paraíso,1410
Rua Vergueiro,vila firmiano pinto,63,3,1,Apartamento,1500,2732,Vila Firmiano Pinto,1148
Rua Barata Ribeiro,bela vista,16,1,0,Studio e kitnet,3700,4459,Bela Vista,1410
Rua Doutor Teodoro Baima,republica,20,1,0,Apartamento,2500,2912,República,1143
Rua Salto,paraiso,33,1,1,Studio e kitnet,1850,3340,Paraíso,1410
Rua Nicolau Barreto,vila cordeiro,50,1,1,Apartamento,5400,6258,Vila Cordeiro,1147
Rua Malie Brenner,vila dom pedro ii,32,1,0,Apartamento,1600,1871,Vila Dom Pedro Ii,1069
Avenida Duque de Caxias,campos eliseos,36,1,1,Apartamento,2200,3232,Campos Elíseos,1143
Rua Vicente Ferreira Leite,vila siqueira,47,2,1,Apartamento,1650,2187,Vila Siqueira (zona Norte),1146
Rua Jaguarete,casa verde,54,2,1,Apartamento,4200,4954,Casa Verde,1259
Rua Batataes,jardim paulista,34,1,1,Studio e kitnet,4000,5288,Jardim Paulista,937
